voters_id,first_name,last_name,birthdate,gender,email,country,first_vote_date,total_votes
1,carol,Rai,1/15/1989,F ,carol8@yahoo.com,Denmark,3/9/2015,136
2,Ana,Price,2/17/1987,F ,ana0@gmail.com,France,1/17/2015,124
3,melissa,Richardson,4/25/1989,F ,melissa31@yahoo.com,Denmark,4/9/2015,145
4,Angela,Griffin,3/8/1993,F ,angela23@gmail.com,Belgium,12/30/2015,52
5,Grace,Henderson,1/30/1968,F ,grace52@yahoo.com,USA,6/2/2015,147
6,melody,Ramos,1/30/1969,F ,melody17@yahoo.com,USA,1/8/2013,90
7,clinton,Moreno,5/5/1990,M ,clinton3@yahoo.com,Denmark,1/19/2013,63
8,Kaylee,Cook,5/5/1991,F ,kaylee18@yahoo.com,Switzerland,9/17/2013,58
9,Dennis,Huang,3/11/1972,M ,dennis7@yahoo.com,USA,10/29/2013,110
10,Julia,Brooks,5/5/1972,F ,julia63@yahoo.com,United Kingdom,7/16/2015,72
11,Devin,Henderson,1/30/1970,M ,devin43@yahoo.com,USA,10/29/2013,126
12,Gabrielle,Cox,5/13/1979,F ,gabrielle10@yahoo.com,Germany,9/25/2015,55
13,Jose,Wright,5/22/1986,M ,jose56@yahoo.com,Austria,8/16/2015,109
14,Seth,Martin,6/3/1987,M ,seth15@yahoo.com,Mexico,11/9/2013,162
15,clayton,Sharma,6/3/1986,M ,clayton27@yahoo.com,Austria,12/28/2013,76
16,Amy,Huang,5/22/1986,F ,amy13@gmail.com,Austria,2/16/2015,101
17,michele,Suarez,5/15/1986,F ,michele53@yahoo.com,Austria,7/10/2014,20
18,Kurt,Jai,5/13/1972,M ,kurt11@yahoo.com,United Kingdom,2/27/2015,28
19,Sebastian,Rogers,4/21/1995,M ,sebastian18@yahoo.com,Belgium,1/6/2016,94
20,Trisha,Ma,2/17/1989,F ,trisha10@yahoo.com,Denmark,12/31/2013,48
21,Eugene,Zhu,6/5/1987,M ,eugene18@gmail.com,China,1/4/2014,176
22,cedric,Lin,2/20/1990,M ,cedric8@yahoo.com,Belgium,6/6/2015,39
23,Julie,Becker,4/21/1996,F ,julie22@yahoo.com,Belgium,4/26/2015,189
24,Sandra,He,5/13/1986,F ,sandra26@yahoo.com,Austria,11/17/2015,169
25,George,Kapoor,1/14/1986,M ,george7@yahoo.com,Austria,3/27/2015,92
26,Alyssa,Bryant,5/22/1986,F ,alyssa63@gmail.com,Austria,7/24/2015,138
